File Name,Amount,Error,Average Error
006.jpg,6,0,0.0
02.jpg,2,0,0.0
03.jpg,3,0,0.0
04.jpg,5,1,0.25
06.jpg,5,1,0.4
2.jpg,3,1,0.5
3.jpg,3,0,0.42857142857142855
4.jpg,5,1,0.5
5.jpg,5,0,0.4444444444444444
6.jpg,6,0,0.4
7.jpg,9,2,0.5454545454545454
